iter	Passed	Remaining
1058	557816	1776691
1059	558364	1776230
1060	558849	1775571
1061	559407	1775143
1062	559953	1774678
1063	560577	1774460
1064	561111	1773953
1065	561758	1773806
1066	562259	1773197
1067	562722	1772469
1068	563253	1771957
1069	563719	1771236
1070	564209	1770596
1071	564717	1770009
1072	565188	1769309
1073	565726	1768817
1074	566241	1768253
1075	566772	1767740
1076	567313	1767256
1077	567810	1766638
1078	568344	1766134
1079	568892	1765673
1080	569385	1765042
1081	569904	1764492
1082	570434	1763976
1083	570969	1763474
1084	571493	1762939
1085	571968	1762253
1086	572421	1761499
1087	572950	1760980
1088	573503	1760533
1089	574016	1759965
1090	574534	1759413
1091	575110	1759038
1092	575644	1758533
1093	576176	1758022
1094	576895	1758083
1095	577452	1757646
1096	578126	1757569
1097	578628	1756963
1098	579115	1756316
1099	579648	1755808
1100	580154	1755217
1101	580649	1754593
1102	581165	1754034
1103	581734	1753635
1104	582319	1753281
1105	582861	1752800
1106	583381	1752253
1107	583870	1751612
1108	584406	1751112
1109	584912	1750521
1110	585440	1749999
1111	585959	1749448
1112	586453	1748822
1113	587034	1748455
1114	587598	1748038
1115	588129	1747525
1116	588634	1746931
1117	589121	1746286
1118	589585	1745574
1119	590155	1745175
1120	590652	1744557
1121	591181	1744038
1122	591716	1743536
1123	592436	1743576
1124	593021	1743220
1125	593536	1742655
1126	594106	1742256
1127	594646	1741766
1128	595202	1741322
1129	595744	1740839
1130	596291	1740369
1131	596739	1739610
1132	597257	1739056
1133	597762	1738466
1134	598278	1737907
1135	598830	1737451
1136	599475	1737266
1137	600098	1737016
1138	600641	1736533
1139	601171	1736014
1140	601674	1735415
1141	602160	1734770
1142	602685	1734235
1143	603359	1734131
1144	603905	1733657
1145	604399	1733034
1146	604893	1732410
1147	605414	1731864
1148	605903	1731227
1149	606428	1730695
1150	606917	1730058
1151	607592	1729951
1152	608112	1729401
1153	608657	1728924
1154	609199	1728439
1155	609703	1727846
1156	610234	1727327
1157	610774	1726834
1158	611305	1726318
1159	611883	1725932
1160	612516	1725702
1161	613041	1725169
1162	613571	1724649
1163	614062	1724018
